행정구역(시)별,산업별,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017
행정구역(시)별,산업별,사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
제주시,금융 및 보험업,463,-,7513,-,-,479,-,7060,-,-,485,-,7593,-,-,493,-,7362,-,-,481,-,7139,-,-,499,-,6511,-,-,492,74,6073,2636,3437
제주시,부동산 및 임대업,761,-,2459,-,-,854,-,2824,-,-,974,-,3205,-,-,1163,-,3697,-,-,1409,-,4474,-,-,1715,-,4923,-,-,1546,482,3374,2215,1159
제주시,"전문, 과학 및 기술서비스업",616,-,3741,-,-,675,-,3910,-,-,757,-,4379,-,-,816,-,4524,-,-,855,-,5029,-,-,946,-,5532,-,-,976,151,5526,3585,1941
제주시,사업 시설관리 및 사업 지원 서비스,775,-,5510,-,-,846,-,5959,-,-,882,-,8395,-,-,994,-,7632,-,-,1020,-,9553,-,-,1042,-,9530,-,-,1354,396,10826,5580,5246
제주시,"공공행정, 국방 및 사회보장행정",136,-,7860,-,-,132,-,7444,-,-,136,-,7846,-,-,141,-,8168,-,-,135,-,7577,-,-,139,-,9032,-,-,138,9,9314,6360,2954
제주시,교육 서비스업,1858,-,14152,-,-,1937,-,14001,-,-,1978,-,14188,-,-,2007,-,15311,-,-,1997,-,15441,-,-,2036,-,14662,-,-,2027,1171,14893,6086,8807
제주시,보건업 및 사회복지 서비스업,1142,-,12223,-,-,1210,-,13175,-,-,1301,-,14754,-,-,1354,-,15296,-,-,1340,-,15868,-,-,1379,-,16246,-,-,1430,677,17606,3628,13978
제주시,"예술, 스포츠 및 여가 관련 서비스업",1052,-,6380,-,-,1061,-,6567,-,-,1072,-,6999,-,-,1086,-,7135,-,-,1054,-,6963,-,-,1151,-,6815,-,-,1234,501,6759,3665,3094
제주시,"협회 및 단체, 수리 및 기타개인서비스업",3721,-,8535,-,-,3850,-,8771,-,-,3970,-,9358,-,-,3980,-,9689,-,-,4053,-,9843,-,-,4070,-,10597,-,-,4049,2052,9160,4577,4583
제주시,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
제주시,국제 및 외국기관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,합계,12294,5434,49024,25291,23733,12870,5778,52136,27178,24958,13507,6150,54808,28025,26783,13798,6273,56181,28996,27185,14238,6561,59090,30567,28523,14770,6788,61953,31774,30344,15462,7073,64307,33041,31266
서귀포시,"농업, 임업 및 어업",221,-,2404,-,-,223,-,2138,-,-,232,-,2800,-,-,225,-,2759,-,-,207,-,2225,-,-,177,-,1684,-,-,168,27,1583,1103,480
서귀포시,광업,9,-,143,-,-,8,-,116,-,-,8,-,65,-,-,6,-,54,-,-,6,-,57,-,-,4,-,41,-,-,2,1,22,19,3
서귀포시,제조업,448,-,1981,-,-,462,-,2225,-,-,468,-,2190,-,-,470,-,2190,-,-,468,-,2309,-,-,472,-,2315,-,-,559,153,2548,1825,723
서귀포시,"전기, 가스, 증기 및 수도사업",9,-,295,-,-,9,-,238,-,-,8,-,275,-,-,8,-,222,-,-,9,-,243,-,-,12,-,317,-,-,11,1,274,243,31
서귀포시,"하수폐기물 처리, 원료재생 및 환경복원업",26,-,183,-,-,22,-,181,-,-,22,-,201,-,-,29,-,212,-,-,28,-,272,-,-,28,-,282,-,-,33,8,315,271,44
서귀포시,건설업,273,-,2094,-,-,303,-,2752,-,-,361,-,2327,-,-,373,-,2456,-,-,400,-,3148,-,-,434,-,3361,-,-,435,105,3399,2912,487
서귀포시,도매 및 소매업,3506,-,9029,-,-,3662,-,9587,-,-,3815,-,10167,-,-,3768,-,10082,-,-,3771,-,9997,-,-,3753,-,10296,-,-,3818,1930,10691,5395,5296
서귀포시,운수업,1235,-,2202,-,-,1228,-,2361,-,-,1222,-,2205,-,-,1204,-,2260,-,-,1145,-,2301,-,-,1149,-,2289,-,-,1165,42,2592,2320,272
서귀포시,숙박 및 음식점업,3229,-,10381,-,-,3468,-,11200,-,-,3808,-,12438,-,-,4150,-,13604,-,-,4570,-,15234,-,-,4967,-,16915,-,-,5413,3216,17577,6963,10614
서귀포시,"출판, 영상,방송통신 및 정보서비스업",34,-,335,-,-,36,-,317,-,-,35,-,249,-,-,31,-,242,-,-,29,-,215,-,-,34,-,256,-,-,32,12,265,189,76
서귀포시,금융 및 보험업,169,-,1935,-,-,168,-,1915,-,-,168,-,1979,-,-,164,-,1928,-,-,163,-,2094,-,-,165,-,2122,-,-,165,15,2095,1132,963
서귀포시,부동산 및 임대업,201,-,603,-,-,214,-,457,-,-,239,-,555,-,-,287,-,632,-,-,334,-,761,-,-,410,-,1126,-,-,445,114,2195,1365,830
서귀포시,"전문, 과학 및 기술서비스업",82,-,643,-,-,85,-,533,-,-,108,-,731,-,-,113,-,812,-,-,116,-,1023,-,-,141,-,1144,-,-,143,21,1071,708,363
서귀포시,사업 시설관리 및 사업 지원 서비스,164,-,917,-,-,199,-,1649,-,-,201,-,1015,-,-,200,-,953,-,-,194,-,843,-,-,201,-,1143,-,-,244,105,1168,573,595
서귀포시,"공공행정, 국방 및 사회보장행정",70,-,2551,-,-,77,-,2633,-,-,78,-,2658,-,-,74,-,2695,-,-,73,-,2616,-,-,75,-,2799,-,-,71,2,2954,2092,862
서귀포시,교육 서비스업,515,-,3918,-,-,532,-,4038,-,-,541,-,4207,-,-,526,-,4211,-,-,547,-,4729,-,-,531,-,4673,-,-,557,321,4684,1729,2955
서귀포시,보건업 및 사회복지 서비스업,382,-,3508,-,-,386,-,3610,-,-,399,-,4042,-,-,421,-,4170,-,-,423,-,4366,-,-,442,-,4487,-,-,468,209,4845,1098,3747
서귀포시,"예술, 스포츠 및 여가 관련 서비스업",396,-,3234,-,-,428,-,3495,-,-,432,-,4010,-,-,418,-,4051,-,-,412,-,3922,-,-,421,-,3954,-,-,434,160,3482,1818,1664
서귀포시,"협회 및 단체, 수리 및 기타개인서비스업",1325,-,2668,-,-,1360,-,2691,-,-,1362,-,2694,-,-,1331,-,2648,-,-,1343,-,2735,-,-,1354,-,2749,-,-,1299,631,2547,1286,1261
서귀포시,가구 내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서귀포시,국제 및 외국기관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
